date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2022-01-01,Albania,41.1533,20.1683,210224,3217,0,207007,1.2757820229850065,1.3,28.778
2022-01-01,Andorra,42.5063,1.5218,23740,140,0,23600,8.466722830665544,8.5,0.77265
2022-01-01,Austria,47.5162,14.5501,1274628,16845,0,1257783,1.4452059738213816,1.4,90.064
2022-01-01,Belarus,53.7098,27.9534,700421,5594,0,694827,1.11647137935613,1.1,94.49321
2022-01-01,Belgium,50.8333,4.469936,2105343,28331,0,2077012,3.193398890347084,3.2,115.89616
2022-01-01,Bosnia and Herzegovina,43.9159,17.6791,291313,13442,0,277871,1.3857946607257485,1.4,32.80815
2022-01-01,Bulgaria,42.7339,25.4858,748184,30983,0,717201,1.9115618617880095,1.9,69.48445
2022-01-01,Croatia,45.1,15.2,720538,12571,0,707967,3.8077103497664244,3.8,41.05268
2022-01-01,Cyprus,35.1264,33.4299,169159,638,0,168521,11.415886828368576,11.4,12.07361
2022-01-01,Denmark,56.2639,9.5018,831974,3287,0,828687,16.772639529600685,16.8,57.92203
2022-01-01,Estonia,58.5953,25.0136,242123,1938,0,240185,2.4739491911136073,2.5,13.26539
2022-01-01,Finland,61.92411,25.748151,277700,1728,0,275972,14.794742527907815,14.8,55.40718
2022-01-01,France,46.2276,2.2137,10296909,124839,0,10172070,10.722305111174625,10.7,652.73512
2022-01-01,Germany,51.165691,10.451526,7176814,112109,0,7064705,2.724509789441387,2.7,837.83945
2022-01-01,Greece,39.0742,21.8243,1240862,20849,0,1220013,13.702490687925007,13.7,104.23056
2022-01-01,Hungary,47.1625,19.5033,1256415,39186,0,1217229,1.5190044690647597,1.5,96.6035
2022-01-01,Iceland,64.9631,-19.0208,27059,37,0,27022,18.374662773938432,18.4,3.4125
2022-01-01,Ireland,53.1424,-7.6921,811840,5912,0,805928,13.12056562869531,13.1,49.37796
2022-01-01,Italy,41.87194,12.56738,6266939,137513,0,6129426,10.284255200186248,10.3,604.61828
2022-01-01,Kosovo,42.602636,20.902977,161531,2991,0,158540,0.1262915477524438,0.1,18.45
2022-01-01,Latvia,56.8796,24.6032,276841,4577,0,272264,2.0275176003554387,2.0,18.86202
2022-01-01,Liechtenstein,47.14,9.55,6167,69,0,6098,4.394357061780444,4.4,0.38137
2022-01-01,Lithuania,55.1694,23.8813,526628,7412,0,519216,2.1601585939220853,2.2,27.22291
2022-01-01,Luxembourg,49.8153,6.1296,103766,915,0,102851,4.6094096332131915,4.6,6.25976
2022-01-01,Malta,35.9375,14.3754,53503,477,0,53026,14.62534811132086,14.6,4.41539
2022-01-01,Moldova,47.4116,28.3699,376434,10284,0,366150,0.5538819554025407,0.6,40.33963
2022-01-01,Monaco,43.7333,7.4167,4985,39,0,4946,4.714142427281845,4.7,0.39244
2022-01-01,Montenegro,42.708678,19.37439,171873,2414,0,169459,5.2626066921506,5.3,6.28062
2022-01-01,Netherlands,52.1326,5.2913,3217646,21419,0,3196227,3.3628932455590204,3.4,171.34873
2022-01-01,North Macedonia,41.6086,21.7453,225484,7969,0,217515,1.1317876212946374,1.1,20.8338
2022-01-01,Norway,60.472,8.4689,396415,1305,0,395110,6.127921496411589,6.1,54.21242
2022-01-01,Poland,51.9194,19.1451,4120248,97559,0,4022689,1.8606404274694144,1.9,378.46605
2022-01-01,Portugal,39.3999,-8.2245,1412936,18976,0,1393960,9.687841487512527,9.7,101.96707
2022-01-01,Romania,45.9432,24.9668,1810342,58779,0,1751563,0.43892259031718867,0.4,192.37682
2022-01-01,San Marino,43.9424,12.4578,8202,100,0,8102,8.241892221409412,8.2,0.33938
2022-01-01,Serbia,44.0165,21.0059,1300949,12739,0,1288210,0.880587940034544,0.9,87.3737
2022-01-01,Slovakia,48.669,19.699,1374354,16665,0,1357689,1.8341708177078104,1.8,54.59643
2022-01-01,Slovenia,46.1512,14.9955,465711,5597,0,460114,2.217040181571833,2.2,20.78931
2022-01-01,Spain,40.463667,-3.74922,6294745,89405,0,6205340,9.162213878401746,9.2,467.54783
2022-01-01,Sweden,60.128161,18.643501,1314784,15310,0,1299474,3.1542063183001923,3.2,100.9927
2022-01-01,Switzerland,46.8182,8.2275,1332615,12220,0,1320395,7.895753837379888,7.9,86.54618
2022-01-01,Turkey,38.9637,35.2433,9519281,82506,0,9436775,2.440257830397065,2.4,843.39067
2022-01-01,Ukraine,48.3794,31.1656,3852397,102300,0,3750097,0.8178284844474751,0.8,437.33759
2022-01-01,United Kingdom,55.3781,-3.436,13174530,178025,0,12996505,8.301859724787146,8.3,678.86004
2022-01-02,Albania,41.1533,20.1683,210885,3220,0,207665,1.5060340944116462,1.5,28.778
