Date,Country,Lat,Long,Confirmed,Recovered,Deaths,Active
1/1/22,Afghanistan,33.93911,67.709953,158107,0,7356,150751
1/2/22,Afghanistan,33.93911,67.709953,158189,0,7361,150828
1/3/22,Afghanistan,33.93911,67.709953,158183,0,7364,150819
1/4/22,Afghanistan,33.93911,67.709953,158205,0,7365,150840
1/5/22,Afghanistan,33.93911,67.709953,158245,0,7367,150878
1/6/22,Afghanistan,33.93911,67.709953,158275,0,7367,150908
1/7/22,Afghanistan,33.93911,67.709953,158300,0,7368,150932
1/8/22,Afghanistan,33.93911,67.709953,158309,0,7369,150940
1/9/22,Afghanistan,33.93911,67.709953,158381,0,7373,151008
1/10/22,Afghanistan,33.93911,67.709953,158394,0,7373,151021
1/11/22,Afghanistan,33.93911,67.709953,158471,0,7374,151097
1/12/22,Afghanistan,33.93911,67.709953,158511,0,7376,151135
1/13/22,Afghanistan,33.93911,67.709953,158602,0,7376,151226
1/14/22,Afghanistan,33.93911,67.709953,158639,0,7376,151263
1/15/22,Afghanistan,33.93911,67.709953,158678,0,7378,151300
1/16/22,Afghanistan,33.93911,67.709953,158717,0,7379,151338
1/17/22,Afghanistan,33.93911,67.709953,158826,0,7381,151445
1/18/22,Afghanistan,33.93911,67.709953,158974,0,7383,151591
1/19/22,Afghanistan,33.93911,67.709953,159070,0,7386,151684
1/20/22,Afghanistan,33.93911,67.709953,159303,0,7386,151917
1/21/22,Afghanistan,33.93911,67.709953,159516,0,7390,152126
1/22/22,Afghanistan,33.93911,67.709953,159548,0,7390,152158
1/23/22,Afghanistan,33.93911,67.709953,159649,0,7393,152256
1/24/22,Afghanistan,33.93911,67.709953,159896,0,7393,152503
1/25/22,Afghanistan,33.93911,67.709953,160252,0,7397,152855
1/26/22,Afghanistan,33.93911,67.709953,160692,0,7401,153291
1/27/22,Afghanistan,33.93911,67.709953,161004,0,7403,153601
1/28/22,Afghanistan,33.93911,67.709953,161057,0,7403,153654
1/29/22,Afghanistan,33.93911,67.709953,161290,0,7405,153885
1/30/22,Afghanistan,33.93911,67.709953,162111,0,7408,154703
1/31/22,Afghanistan,33.93911,67.709953,162926,0,7414,155512
2/1/22,Afghanistan,33.93911,67.709953,163555,0,7417,156138
2/2/22,Afghanistan,33.93911,67.709953,164190,0,7418,156772
2/3/22,Afghanistan,33.93911,67.709953,164727,0,7420,157307
2/4/22,Afghanistan,33.93911,67.709953,165358,0,7420,157938
2/5/22,Afghanistan,33.93911,67.709953,165711,0,7425,158286
2/6/22,Afghanistan,33.93911,67.709953,166191,0,7432,158759
2/7/22,Afghanistan,33.93911,67.709953,166924,0,7442,159482
2/8/22,Afghanistan,33.93911,67.709953,167739,0,7454,160285
2/9/22,Afghanistan,33.93911,67.709953,168550,0,7465,161085
2/10/22,Afghanistan,33.93911,67.709953,169448,0,7477,161971
2/11/22,Afghanistan,33.93911,67.709953,169940,0,7478,162462
2/12/22,Afghanistan,33.93911,67.709953,170152,0,7488,162664
2/13/22,Afghanistan,33.93911,67.709953,170604,0,7494,163110
2/14/22,Afghanistan,33.93911,67.709953,171246,0,7501,163745
2/15/22,Afghanistan,33.93911,67.709953,171422,0,7504,163918
2/16/22,Afghanistan,33.93911,67.709953,171519,0,7513,164006
2/17/22,Afghanistan,33.93911,67.709953,171673,0,7524,164149
2/18/22,Afghanistan,33.93911,67.709953,171857,0,7526,164331
2/19/22,Afghanistan,33.93911,67.709953,171931,0,7534,164397
2/20/22,Afghanistan,33.93911,67.709953,172205,0,7539,164666
2/21/22,Afghanistan,33.93911,67.709953,172441,0,7549,164892
2/22/22,Afghanistan,33.93911,67.709953,172716,0,7569,165147
2/23/22,Afghanistan,33.93911,67.709953,172901,0,7574,165327
2/24/22,Afghanistan,33.93911,67.709953,173047,0,7578,165469
2/25/22,Afghanistan,33.93911,67.709953,173084,0,7579,165505
2/26/22,Afghanistan,33.93911,67.709953,173146,0,7585,165561
2/27/22,Afghanistan,33.93911,67.709953,173395,0,7593,165802
2/28/22,Afghanistan,33.93911,67.709953,173659,0,7598,166061
3/1/22,Afghanistan,33.93911,67.709953,173879,0,7609,166270
3/2/22,Afghanistan,33.93911,67.709953,174073,0,7617,166456
3/3/22,Afghanistan,33.93911,67.709953,174214,0,7619,166595
3/4/22,Afghanistan,33.93911,67.709953,174214,0,7619,166595
3/5/22,Afghanistan,33.93911,67.709953,174331,0,7622,166709
3/6/22,Afghanistan,33.93911,67.709953,174582,0,7623,166959
3/7/22,Afghanistan,33.93911,67.709953,175000,0,7626,167374
3/8/22,Afghanistan,33.93911,67.709953,175353,0,7630,167723
3/9/22,Afghanistan,33.93911,67.709953,175525,0,7636,167889
3/10/22,Afghanistan,33.93911,67.709953,175893,0,7639,168254
3/11/22,Afghanistan,33.93911,67.709953,175974,0,7640,168334
3/12/22,Afghanistan,33.93911,67.709953,176039,0,7641,168398
3/13/22,Afghanistan,33.93911,67.709953,176201,0,7643,168558
